Initializing Qwen Client with model: qwen3-vl-8b-instruct
Using Data Root: /ceph/hpc/home/euweihez/topcon/d2025d08-005-users/data_src/balanced/balanced_th/th/balanced_theory
--- SHARD INFO ---
Job ID: 1 / 4
Processing indices: 494 to 988 (Total: 494 papers)
[J4Dvxv7WnG] figure_2.jpg -> classified as: Plots / Charts
[J4Dvxv7WnG] figure_20.jpg -> classified as: Plots / Charts
[J4Dvxv7WnG] figure_(a)_Sharpness_plots.jpg -> classified as: Plots / Charts
[J4Dvxv7WnG] figure_11.jpg -> classified as: Plots / Charts
[J4Dvxv7WnG] figure_7.jpg -> classified as: Plots / Charts
[J4Dvxv7WnG] figure_3.jpg -> classified as: Plots / Charts
[J4Dvxv7WnG] figure_4.jpg -> classified as: Plots / Charts
[J4Dvxv7WnG] figure_17.jpg -> classified as: Plots / Charts
[J4Dvxv7WnG] figure_1.jpg -> classified as: Plots / Charts
[J4Dvxv7WnG] figure_8.jpg -> classified as: Plots / Charts
[J4Dvxv7WnG] figure_12.jpg -> classified as: Plots / Charts
[J4Dvxv7WnG] figure_21.jpg -> classified as: Plots / Charts
[J4Dvxv7WnG] figure_14.jpg -> classified as: Plots / Charts
[J4Dvxv7WnG] figure_16.jpg -> classified as: Plots / Charts
[J4Dvxv7WnG] figure_10.jpg -> classified as: Plots / Charts
[JBXO05r4AV] figure_5.jpg -> classified as: Plots / Charts
[JBXO05r4AV] figure_2.jpg -> classified as: Plots / Charts
[JBXO05r4AV] figure_3.jpg -> classified as: Architecture Diagram
[JBXO05r4AV] figure_1.jpg -> classified as: Plots / Charts
[JCiF03qnmi] figure_5.jpg -> classified as: Plots / Charts
[JCiF03qnmi] figure_6.jpg -> classified as: Plots / Charts
[JCiF03qnmi] figure_9.jpg -> classified as: Plots / Charts
[JCiF03qnmi] figure_13.jpg -> classified as: Plots / Charts
[JCiF03qnmi] figure_2.jpg -> classified as: Plots / Charts
[JCiF03qnmi] figure_11.jpg -> classified as: Plots / Charts
[JCiF03qnmi] figure_7.jpg -> classified as: Plots / Charts
[JCiF03qnmi] figure_3.jpg -> classified as: Plots / Charts
[JCiF03qnmi] figure_4.jpg -> classified as: Plots / Charts
[JCiF03qnmi] figure_1.jpg -> classified as: Plots / Charts
[JCiF03qnmi] figure_8.jpg -> classified as: Plots / Charts
[JCiF03qnmi] figure_12.jpg -> classified as: Plots / Charts
[JCiF03qnmi] figure_14.jpg -> classified as: Plots / Charts
[JCiF03qnmi] figure_10.jpg -> classified as: Plots / Charts
[JDm7oIcx4Y] figure_5.jpg -> classified as: Plots / Charts
[JDm7oIcx4Y] figure_6.jpg -> classified as: Plots / Charts
[JDm7oIcx4Y] figure_2.jpg -> classified as: Plots / Charts
[JDm7oIcx4Y] figure_3.jpg -> classified as: Plots / Charts
[JDm7oIcx4Y] figure_4.jpg -> classified as: Plots / Charts
[JDm7oIcx4Y] figure_1.jpg -> classified as: Plots / Charts
[JElN0LJMKB] figure_2.jpg -> classified as: Qualitative Examples
[JElN0LJMKB] figure_3.jpg -> classified as: Architecture Diagram
[JElN0LJMKB] figure_4.jpg -> classified as: Qualitative Examples
[JElN0LJMKB] figure_1.jpg -> classified as: Architecture Diagram
[JFk8F7w8Iz] figure_5.jpg -> classified as: Plots / Charts
[JFk8F7w8Iz] figure_6.jpg -> classified as: Plots / Charts
[JFk8F7w8Iz] figure_9.jpg -> classified as: Plots / Charts
[JFk8F7w8Iz] figure_13.jpg -> classified as: Plots / Charts
[JFk8F7w8Iz] figure_15.jpg -> classified as: Plots / Charts
[JFk8F7w8Iz] figure_2.jpg -> classified as: Qualitative Examples
[JFk8F7w8Iz] figure_11.jpg -> classified as: Plots / Charts
[JFk8F7w8Iz] figure_7.jpg -> classified as: Plots / Charts
[JFk8F7w8Iz] figure_3.jpg -> classified as: Plots / Charts
[JFk8F7w8Iz] figure_17.jpg -> classified as: Plots / Charts
[JFk8F7w8Iz] figure_1.jpg -> classified as: Architecture Diagram
[JFk8F7w8Iz] figure_8.jpg -> classified as: Plots / Charts
[JFk8F7w8Iz] figure_12.jpg -> classified as: Plots / Charts
[JFk8F7w8Iz] figure_14.jpg -> classified as: Plots / Charts
[JFk8F7w8Iz] figure_16.jpg -> classified as: Plots / Charts
[JFk8F7w8Iz] figure_10.jpg -> classified as: Plots / Charts
[JIePBlcFg0] figure_5.jpg -> classified as: Plots / Charts
[JIePBlcFg0] figure_6.jpg -> classified as: Plots / Charts
[JIePBlcFg0] figure_2.jpg -> classified as: Plots / Charts
[JIePBlcFg0] figure_3.jpg -> classified as: Plots / Charts
[JIePBlcFg0] figure_4.jpg -> classified as: Plots / Charts
[JIePBlcFg0] figure_1.jpg -> classified as: Architecture Diagram
[JL18agpSc3] figure_30.jpg -> classified as: Plots / Charts
[JL18agpSc3] figure_19.jpg -> classified as: Plots / Charts
[JL18agpSc3] figure_23.jpg -> classified as: Plots / Charts
[JL18agpSc3] figure_29.jpg -> classified as: Plots / Charts
[JL18agpSc3] figure_24.jpg -> classified as: Plots / Charts
[JL18agpSc3] figure_5.jpg -> classified as: Plots / Charts
[JL18agpSc3] figure_6.jpg -> classified as: Plots / Charts
[JL18agpSc3] figure_9.jpg -> classified as: Plots / Charts
[JL18agpSc3] figure_22.jpg -> classified as: Plots / Charts
[JL18agpSc3] figure_28.jpg -> classified as: Plots / Charts
[JL18agpSc3] figure_18.jpg -> classified as: Plots / Charts
[JL18agpSc3] figure_13.jpg -> classified as: Plots / Charts
[JL18agpSc3] figure_15.jpg -> classified as: Plots / Charts
[JL18agpSc3] figure_2.jpg -> classified as: Architecture Diagram
[JL18agpSc3] figure_20.jpg -> classified as: Plots / Charts
[JL18agpSc3] figure_11.jpg -> classified as: Plots / Charts
[JL18agpSc3] figure_34.jpg -> classified as: Plots / Charts
[JL18agpSc3] figure_3.jpg -> classified as: Plots / Charts
[JL18agpSc3] figure_33.jpg -> classified as: Plots / Charts
[JL18agpSc3] figure_4.jpg -> classified as: Plots / Charts
[JL18agpSc3] figure_s.jpg -> classified as: Plots / Charts
[JL18agpSc3] figure_31.jpg -> classified as: Plots / Charts
[JL18agpSc3] figure_17.jpg -> classified as: Plots / Charts
[JL18agpSc3] figure_1.jpg -> classified as: Architecture Diagram
[JL18agpSc3] figure_27.jpg -> classified as: Plots / Charts
[JL18agpSc3] figure_8.jpg -> classified as: Plots / Charts
[JL18agpSc3] figure_12.jpg -> classified as: Plots / Charts
[JL18agpSc3] figure_21.jpg -> classified as: Plots / Charts
[JL18agpSc3] figure_26.jpg -> classified as: Plots / Charts
[JL18agpSc3] figure_14.jpg -> classified as: Plots / Charts
[JL18agpSc3] figure_32.jpg -> classified as: Plots / Charts
[JL18agpSc3] figure_16.jpg -> classified as: Plots / Charts
[JL18agpSc3] figure_10.jpg -> classified as: Plots / Charts
[JMPOqoe4tl] figure_2.jpg -> classified as: Plots / Charts
[JMPOqoe4tl] figure_1.jpg -> classified as: Qualitative Examples
[JN7TcCm9LF] figure_5.jpg -> classified as: Plots / Charts
[JN7TcCm9LF] figure_2.jpg -> classified as: Plots / Charts
[JN7TcCm9LF] figure_3.jpg -> classified as: Plots / Charts
[JN7TcCm9LF] figure_4.jpg -> classified as: Plots / Charts
[JN7TcCm9LF] figure_1.jpg -> classified as: Plots / Charts
[JQQDePbfxh] figure_1.jpg -> classified as: Architecture Diagram
[JQkj67NArS] figure_2.jpg -> classified as: Plots / Charts
[JQkj67NArS] figure_3.jpg -> classified as: Plots / Charts
[JQkj67NArS] figure_1.jpg -> classified as: Plots / Charts
[JQtuCumAFD] figure_5.jpg -> classified as: Plots / Charts
[JQtuCumAFD] figure_2.jpg -> classified as: Plots / Charts
[JQtuCumAFD] figure_3.jpg -> classified as: Plots / Charts
[JQtuCumAFD] figure_4.jpg -> classified as: Plots / Charts
[JQtuCumAFD] figure_1.jpg -> classified as: Plots / Charts
[JSS9rKHySk] figure_2.jpg -> classified as: Architecture Diagram
[JSS9rKHySk] figure_1.jpg -> classified as: Architecture Diagram
[JSlTXa6WE6] figure_2.jpg -> classified as: Plots / Charts
[JSlTXa6WE6] figure_3.jpg -> classified as: Plots / Charts
[JSlTXa6WE6] figure_4.jpg -> classified as: Plots / Charts
[JSlTXa6WE6] figure_1.jpg -> classified as: Architecture Diagram
[JUGLP5L8F3] figure_2.jpg -> classified as: Plots / Charts
[JUGLP5L8F3] figure_3.jpg -> classified as: Plots / Charts
[JUGLP5L8F3] figure_4.jpg -> classified as: Plots / Charts
[JUGLP5L8F3] figure_1.jpg -> classified as: Plots / Charts
[JWGJblAs7V] figure_5.jpg -> classified as: Plots / Charts
[JWGJblAs7V] figure_2.jpg -> classified as: Plots / Charts
[JWGJblAs7V] figure_3.jpg -> classified as: Plots / Charts
[JWGJblAs7V] figure_4.jpg -> classified as: Plots / Charts
[JWGJblAs7V] figure_1.jpg -> classified as: Plots / Charts
[JWtrk7mprJ] figure_19.jpg -> classified as: Qualitative Examples
[JWtrk7mprJ] figure_6.jpg -> classified as: Plots / Charts
[JWtrk7mprJ] figure_9.jpg -> classified as: Plots / Charts
[JWtrk7mprJ] figure_18.jpg -> classified as: Plots / Charts
[JWtrk7mprJ] figure_13.jpg -> classified as: Plots / Charts
[JWtrk7mprJ] figure_15.jpg -> classified as: Plots / Charts
[JWtrk7mprJ] figure_2.jpg -> classified as: Qualitative Examples
[JWtrk7mprJ] figure_20.jpg -> classified as: Qualitative Examples
[JWtrk7mprJ] figure_11.jpg -> classified as: Plots / Charts
[JWtrk7mprJ] figure_7.jpg -> classified as: Plots / Charts
[JWtrk7mprJ] figure_3.jpg -> classified as: Plots / Charts
[JWtrk7mprJ] figure_4.jpg -> classified as: Plots / Charts
[JWtrk7mprJ] figure_17.jpg -> classified as: Plots / Charts
[JWtrk7mprJ] figure_1.jpg -> classified as: Architecture Diagram
[JWtrk7mprJ] figure_8.jpg -> classified as: Plots / Charts
[JWtrk7mprJ] figure_12.jpg -> classified as: Plots / Charts
[JWtrk7mprJ] figure_21.jpg -> classified as: Plots / Charts
[JWtrk7mprJ] figure_14.jpg -> classified as: Plots / Charts
[JWtrk7mprJ] figure_16.jpg -> classified as: Plots / Charts
[JWtrk7mprJ] figure_(b)_Difference_between.jpg -> classified as: Plots / Charts
[JWtrk7mprJ] figure_10.jpg -> classified as: Plots / Charts
[JY6P45sFDS] figure_61.jpg -> classified as: Plots / Charts
[JY6P45sFDS] figure_44.jpg -> classified as: Plots / Charts
[JY6P45sFDS] figure_30.jpg -> classified as: Plots / Charts
[JY6P45sFDS] figure_43.jpg -> classified as: Plots / Charts
[JY6P45sFDS] figure_71.jpg -> classified as: Plots / Charts
[JY6P45sFDS] figure_82.jpg -> classified as: Plots / Charts
[JY6P45sFDS] figure_63.jpg -> classified as: Plots / Charts
[JY6P45sFDS] figure_54.jpg -> classified as: Plots / Charts
[JY6P45sFDS] figure_69.jpg -> classified as: Plots / Charts
[JY6P45sFDS] figure_23.jpg -> classified as: Plots / Charts
[JY6P45sFDS] figure_47.jpg -> classified as: Plots / Charts
[JY6P45sFDS] figure_62.jpg -> classified as: Plots / Charts
[JY6P45sFDS] figure_64.jpg -> classified as: Plots / Charts
[JY6P45sFDS] figure_29.jpg -> classified as: Plots / Charts
[JY6P45sFDS] figure_24.jpg -> classified as: Plots / Charts
[JY6P45sFDS] figure_5.jpg -> classified as: Architecture Diagram
[JY6P45sFDS] figure_86.jpg -> classified as: Plots / Charts
[JY6P45sFDS] figure_6.jpg -> classified as: Plots / Charts
[JY6P45sFDS] figure_57.jpg -> classified as: Plots / Charts
[JY6P45sFDS] figure_9.jpg -> classified as: Plots / Charts
[JY6P45sFDS] figure_42.jpg -> classified as: Plots / Charts
[JY6P45sFDS] figure_46.jpg -> classified as: Plots / Charts
[JY6P45sFDS] figure_39.jpg -> classified as: Plots / Charts
[JY6P45sFDS] figure_22.jpg -> classified as: Plots / Charts
[JY6P45sFDS] figure_28.jpg -> classified as: Plots / Charts
[JY6P45sFDS] figure_18.jpg -> classified as: Plots / Charts
[JY6P45sFDS] figure_13.jpg -> classified as: Plots / Charts
[JY6P45sFDS] figure_85.jpg -> classified as: Plots / Charts
[JY6P45sFDS] figure_F.1_VIT__WEIGHT.jpg -> classified as: Plots / Charts
[JY6P45sFDS] figure_15.jpg -> classified as: Plots / Charts
[JY6P45sFDS] figure_55.jpg -> classified as: Plots / Charts
[JY6P45sFDS] figure_2.jpg -> classified as: Plots / Charts
[JY6P45sFDS] figure_38.jpg -> classified as: Plots / Charts
[JY6P45sFDS] figure_20.jpg -> classified as: Plots / Charts
[JY6P45sFDS] figure_75.jpg -> classified as: Plots / Charts
[JY6P45sFDS] figure_81.jpg -> classified as: Plots / Charts
[JY6P45sFDS] figure_67.jpg -> classified as: Plots / Charts
[JY6P45sFDS] figure_53.jpg -> classified as: Plots / Charts
[JY6P45sFDS] figure_11.jpg -> classified as: Plots / Charts
[JY6P45sFDS] figure_87.jpg -> classified as: Plots / Charts
[JY6P45sFDS] figure_60.jpg -> classified as: Plots / Charts
[JY6P45sFDS] figure_68.jpg -> classified as: Plots / Charts
[JY6P45sFDS] figure_35.jpg -> classified as: Plots / Charts
[JY6P45sFDS] figure_58.jpg -> classified as: Plots / Charts
[JY6P45sFDS] figure_50.jpg -> classified as: Plots / Charts
[JY6P45sFDS] figure_76.jpg -> classified as: Plots / Charts
[JY6P45sFDS] figure_52.jpg -> classified as: Plots / Charts
[JY6P45sFDS] figure_7.jpg -> classified as: Plots / Charts
[JY6P45sFDS] figure_34.jpg -> classified as: Plots / Charts
[JY6P45sFDS] figure_49.jpg -> classified as: Plots / Charts
[JY6P45sFDS] figure_3.jpg -> classified as: Plots / Charts
[JY6P45sFDS] figure_33.jpg -> classified as: Plots / Charts
[JY6P45sFDS] figure_83.jpg -> classified as: Plots / Charts
[JY6P45sFDS] figure_4.jpg -> classified as: Plots / Charts
[JY6P45sFDS] figure_36.jpg -> classified as: Plots / Charts
[JY6P45sFDS] figure_72.jpg -> classified as: Plots / Charts
[JY6P45sFDS] figure_40.jpg -> classified as: Plots / Charts
[JY6P45sFDS] figure_31.jpg -> classified as: Plots / Charts
[JY6P45sFDS] figure_17.jpg -> classified as: Plots / Charts
[JY6P45sFDS] figure_73.jpg -> classified as: Plots / Charts
[JY6P45sFDS] figure_45.jpg -> classified as: Plots / Charts
[JY6P45sFDS] figure_65.jpg -> classified as: Plots / Charts
[JY6P45sFDS] figure_41.jpg -> classified as: Plots / Charts
[JY6P45sFDS] figure_48.jpg -> classified as: Plots / Charts
[JY6P45sFDS] figure_1.jpg -> classified as: Other
  -> Skipping second pass (Other)
[JY6P45sFDS] figure_59.jpg -> classified as: Plots / Charts
[JY6P45sFDS] figure_27.jpg -> classified as: Plots / Charts
[JY6P45sFDS] figure_78.jpg -> classified as: Plots / Charts
[JY6P45sFDS] figure_70.jpg -> classified as: Plots / Charts
[JY6P45sFDS] figure_77.jpg -> classified as: Plots / Charts
[JY6P45sFDS] figure_8.jpg -> classified as: Plots / Charts
[JY6P45sFDS] figure_51.jpg -> classified as: Plots / Charts
[JY6P45sFDS] figure_56.jpg -> classified as: Plots / Charts
[JY6P45sFDS] figure_21.jpg -> classified as: Plots / Charts
[JY6P45sFDS] figure_E.3_RESNET50__WEIGHT.jpg -> classified as: Plots / Charts
[JY6P45sFDS] figure_80.jpg -> classified as: Plots / Charts
[JY6P45sFDS] figure_26.jpg -> classified as: Plots / Charts
[JY6P45sFDS] figure_74.jpg -> classified as: Plots / Charts
[JY6P45sFDS] figure_14.jpg -> classified as: Plots / Charts
[JY6P45sFDS] figure_32.jpg -> classified as: Plots / Charts
[JY6P45sFDS] figure_79.jpg -> classified as: Plots / Charts
[JY6P45sFDS] figure_16.jpg -> classified as: Plots / Charts
[JY6P45sFDS] figure_66.jpg -> classified as: Plots / Charts
[JY6P45sFDS] figure_10.jpg -> classified as: Plots / Charts
[JY6P45sFDS] figure_84.jpg -> classified as: Plots / Charts
[JYTQ6ELUVO] figure_5.jpg -> classified as: Plots / Charts
[JYTQ6ELUVO] figure_6.jpg -> classified as: Plots / Charts
[JYTQ6ELUVO] figure_2.jpg -> classified as: Architecture Diagram
[JYTQ6ELUVO] figure_7.jpg -> classified as: Plots / Charts
[JYTQ6ELUVO] figure_3.jpg -> classified as: Plots / Charts
[JYTQ6ELUVO] figure_4.jpg -> classified as: Plots / Charts
[JYTQ6ELUVO] figure_1.jpg -> classified as: Plots / Charts
[JYTQ6ELUVO] figure_8.jpg -> classified as: Plots / Charts
[JYwVijuNA7] figure_2.jpg -> classified as: Plots / Charts
[JYwVijuNA7] figure_3.jpg -> classified as: Plots / Charts
[JYwVijuNA7] figure_1.jpg -> classified as: Plots / Charts
[JZdd7EUefP] figure_2.jpg -> classified as: Plots / Charts
[JZdd7EUefP] figure_1.jpg -> classified as: Plots / Charts
[Jc0FssXh2R] figure_2.jpg -> classified as: Plots / Charts
[Jc0FssXh2R] figure_1.jpg -> classified as: Plots / Charts
[Jd3Vd7GCyq] figure_2.jpg -> classified as: Architecture Diagram
[Jd3Vd7GCyq] figure_(b)_An_example.jpg -> classified as: Architecture Diagram
[JewzobRhay] figure_5.jpg -> classified as: Plots / Charts
[JewzobRhay] figure_6.jpg -> classified as: Plots / Charts
[JewzobRhay] figure_9.jpg -> classified as: Plots / Charts
[JewzobRhay] figure_2.jpg -> classified as: Plots / Charts
[JewzobRhay] figure_7.jpg -> classified as: Plots / Charts
[JewzobRhay] figure_3.jpg -> classified as: Plots / Charts
[JewzobRhay] figure_4.jpg -> classified as: Plots / Charts
[JewzobRhay] figure_1.jpg -> classified as: Plots / Charts
[JewzobRhay] figure_8.jpg -> classified as: Architecture Diagram
[JewzobRhay] figure_10.jpg -> classified as: Plots / Charts
[JfqN3gu0i7] figure_2.jpg -> classified as: Plots / Charts
[JfqN3gu0i7] figure_1.jpg -> classified as: Plots / Charts
[JjMRdXPpKQ] figure_2.jpg -> classified as: Plots / Charts
[JjMRdXPpKQ] figure_3.jpg -> classified as: Plots / Charts
[JjMRdXPpKQ] figure_1.jpg -> classified as: Plots / Charts
[Jos5c7vJPP] figure_5.jpg -> classified as: Plots / Charts
[Jos5c7vJPP] figure_6.jpg -> classified as: Plots / Charts
[Jos5c7vJPP] figure_9.jpg -> classified as: Plots / Charts
[Jos5c7vJPP] figure_13.jpg -> classified as: Plots / Charts
[Jos5c7vJPP] figure_15.jpg -> classified as: Plots / Charts
[Jos5c7vJPP] figure_2.jpg -> classified as: Qualitative Examples
[Jos5c7vJPP] figure_11.jpg -> classified as: Plots / Charts
[Jos5c7vJPP] figure_7.jpg -> classified as: Plots / Charts
[Jos5c7vJPP] figure_3.jpg -> classified as: Plots / Charts
[Jos5c7vJPP] figure_4.jpg -> classified as: Plots / Charts
[Jos5c7vJPP] figure_1.jpg -> classified as: Plots / Charts
[Jos5c7vJPP] figure_8.jpg -> classified as: Plots / Charts
[Jos5c7vJPP] figure_12.jpg -> classified as: Plots / Charts
[Jos5c7vJPP] figure_14.jpg -> classified as: Plots / Charts
[Jos5c7vJPP] figure_10.jpg -> classified as: Plots / Charts
[Jrt9iWalFy] figure_2.jpg -> classified as: Plots / Charts
[Jrt9iWalFy] figure_1.jpg -> classified as: Plots / Charts
[JsnR0YO4Fq] figure_5.jpg -> classified as: Plots / Charts
[JsnR0YO4Fq] figure_6.jpg -> classified as: Plots / Charts
[JsnR0YO4Fq] figure_2.jpg -> classified as: Plots / Charts
[JsnR0YO4Fq] figure_3.jpg -> classified as: Plots / Charts
[JsnR0YO4Fq] figure_4.jpg -> classified as: Plots / Charts
[JsnR0YO4Fq] figure_1.jpg -> classified as: Plots / Charts
[JtKGkz9fAe] figure_2.jpg -> classified as: Architecture Diagram
[JtKGkz9fAe] figure_3.jpg -> classified as: Architecture Diagram
[JtKGkz9fAe] figure_4.jpg -> classified as: Architecture Diagram
[JtKGkz9fAe] figure_1.jpg -> classified as: Plots / Charts
[Jwtpbhheoy] figure_5.jpg -> classified as: Plots / Charts
[Jwtpbhheoy] figure_6.jpg -> classified as: Plots / Charts
[Jwtpbhheoy] figure_9.jpg -> classified as: Plots / Charts
[Jwtpbhheoy] figure_2.jpg -> classified as: Plots / Charts
[Jwtpbhheoy] figure_7.jpg -> classified as: Plots / Charts
[Jwtpbhheoy] figure_3.jpg -> classified as: Plots / Charts
[Jwtpbhheoy] figure_4.jpg -> classified as: Plots / Charts
[Jwtpbhheoy] figure_1.jpg -> classified as: Plots / Charts
[Jwtpbhheoy] figure_8.jpg -> classified as: Plots / Charts
[JyQYYjtO88] figure_1.jpg -> classified as: Plots / Charts
[Jyh0DR4fFE] figure_5.jpg -> classified as: Plots / Charts
[Jyh0DR4fFE] figure_6.jpg -> classified as: Plots / Charts
[Jyh0DR4fFE] figure_9.jpg -> classified as: Plots / Charts
[Jyh0DR4fFE] figure_2.jpg -> classified as: Architecture Diagram
[Jyh0DR4fFE] figure_11.jpg -> classified as: Plots / Charts
[Jyh0DR4fFE] figure_7.jpg -> classified as: Plots / Charts
[Jyh0DR4fFE] figure_3.jpg -> classified as: Plots / Charts
[Jyh0DR4fFE] figure_4.jpg -> classified as: Qualitative Examples
[Jyh0DR4fFE] figure_1.jpg -> classified as: Other
  -> Skipping second pass (Other)
[Jyh0DR4fFE] figure_8.jpg -> classified as: Plots / Charts
[Jyh0DR4fFE] figure_12.jpg -> classified as: Plots / Charts
[Jyh0DR4fFE] figure_10.jpg -> classified as: Plots / Charts
[Jyrwd2wja9] figure_2.jpg -> classified as: Plots / Charts
[Jyrwd2wja9] figure_1.jpg -> classified as: Plots / Charts
[K5QGZut3uu] figure_5.jpg -> classified as: Plots / Charts
[K5QGZut3uu] figure_2.jpg -> classified as: Plots / Charts
[K5QGZut3uu] figure_3.jpg -> classified as: Plots / Charts
[K5QGZut3uu] figure_4.jpg -> classified as: Plots / Charts
[K5QGZut3uu] figure_1.jpg -> classified as: Plots / Charts
[K9Elg2JrvY] figure_2.jpg -> classified as: Plots / Charts
[K9Elg2JrvY] figure_1.jpg -> classified as: Architecture Diagram
[KBGbEncHZF] figure_5.jpg -> classified as: Qualitative Examples
[KBGbEncHZF] figure_6.jpg -> classified as: Plots / Charts
[KBGbEncHZF] figure_2.jpg -> classified as: Qualitative Examples
[KBGbEncHZF] figure_3.jpg -> classified as: Qualitative Examples
[KBGbEncHZF] figure_1.jpg -> classified as: Plots / Charts
[KC2MViQASx] figure_5.jpg -> classified as: Plots / Charts
[KC2MViQASx] figure_2.jpg -> classified as: Plots / Charts
[KC2MViQASx] figure_3.jpg -> classified as: Plots / Charts
[KC2MViQASx] figure_4.jpg -> classified as: Plots / Charts
[KC2MViQASx] figure_1.jpg -> classified as: Plots / Charts
[KMWGzQi7Qy] figure_2.jpg -> classified as: Architecture Diagram
[KMWGzQi7Qy] figure_3.jpg -> classified as: Plots / Charts
[KMWGzQi7Qy] figure_1.jpg -> classified as: Architecture Diagram
[KOZu91CzbK] figure_5.jpg -> classified as: Plots / Charts
[KOZu91CzbK] figure_2.jpg -> classified as: Architecture Diagram
[KOZu91CzbK] figure_3.jpg -> classified as: Architecture Diagram
[KOZu91CzbK] figure_4.jpg -> classified as: Plots / Charts
[KOZu91CzbK] figure_1.jpg -> classified as: Qualitative Examples
[KRv9NubipP] figure_5.jpg -> classified as: Qualitative Examples
[KRv9NubipP] figure_13.jpg -> classified as: Qualitative Examples
[KRv9NubipP] figure_2.jpg -> classified as: Architecture Diagram
[KRv9NubipP] figure_11.jpg -> classified as: Other
  -> Skipping second pass (Other)
[KRv9NubipP] figure_7.jpg -> classified as: Qualitative Examples
[KRv9NubipP] figure_3.jpg -> classified as: Qualitative Examples
[KRv9NubipP] figure_4.jpg -> classified as: Qualitative Examples
[KRv9NubipP] figure_1.jpg -> classified as: Qualitative Examples
[KRv9NubipP] figure_8.jpg -> classified as: Plots / Charts
[KRv9NubipP] figure_10.jpg -> classified as: Other
  -> Skipping second pass (Other)
[KUnFOgAy1D] figure_5.jpg -> classified as: Qualitative Examples
[KUnFOgAy1D] figure_6.jpg -> classified as: Qualitative Examples
[KUnFOgAy1D] figure_2.jpg -> classified as: Qualitative Examples
[KUnFOgAy1D] figure_7.jpg -> classified as: Qualitative Examples
[KUnFOgAy1D] figure_3.jpg -> classified as: Plots / Charts
[KUnFOgAy1D] figure_4.jpg -> classified as: Plots / Charts
[KUnFOgAy1D] figure_1.jpg -> classified as: Qualitative Examples
[KUnFOgAy1D] figure_8.jpg -> classified as: Qualitative Examples
[KWH4UIoQKS] figure_5.jpg -> classified as: Plots / Charts
[KWH4UIoQKS] figure_6.jpg -> classified as: Plots / Charts
[KWH4UIoQKS] figure_9.jpg -> classified as: Plots / Charts
[KWH4UIoQKS] figure_2.jpg -> classified as: Plots / Charts
[KWH4UIoQKS] figure_7.jpg -> classified as: Plots / Charts
[KWH4UIoQKS] figure_3.jpg -> classified as: Architecture Diagram
[KWH4UIoQKS] figure_4.jpg -> classified as: Plots / Charts
[KWH4UIoQKS] figure_1.jpg -> classified as: Architecture Diagram
[KWH4UIoQKS] figure_8.jpg -> classified as: Architecture Diagram
[KWH4UIoQKS] figure_10.jpg -> classified as: Plots / Charts
[KWO8LSUC5W] figure_5.jpg -> classified as: Plots / Charts
[KWO8LSUC5W] figure_6.jpg -> classified as: Plots / Charts
[KWO8LSUC5W] figure_2.jpg -> classified as: Architecture Diagram
[KWO8LSUC5W] figure_7.jpg -> classified as: Qualitative Examples
[KWO8LSUC5W] figure_3.jpg -> classified as: Plots / Charts
[KWO8LSUC5W] figure_4.jpg -> classified as: Plots / Charts
[KWO8LSUC5W] figure_1.jpg -> classified as: Architecture Diagram
[KYipmCMmSO] figure_5.jpg -> classified as: Plots / Charts
[KYipmCMmSO] figure_6.jpg -> classified as: Plots / Charts
[KYipmCMmSO] figure_2.jpg -> classified as: Plots / Charts
[KYipmCMmSO] figure_7.jpg -> classified as: Plots / Charts
[KYipmCMmSO] figure_3.jpg -> classified as: Plots / Charts
[KYipmCMmSO] figure_4.jpg -> classified as: Plots / Charts
[KYipmCMmSO] figure_1.jpg -> classified as: Plots / Charts
[KZEqbwJfTl] figure_(b)_Orange_plane.jpg -> classified as: Architecture Diagram
[KZEqbwJfTl] figure_1.jpg -> classified as: Plots / Charts
[KZJehvRKGD] figure_5.jpg -> classified as: Plots / Charts
[KZJehvRKGD] figure_6.jpg -> classified as: Plots / Charts
[KZJehvRKGD] figure_B_3.jpg -> classified as: Plots / Charts
[KZJehvRKGD] figure_B_6.jpg -> classified as: Plots / Charts
[KZJehvRKGD] figure_2.jpg -> classified as: Plots / Charts
[KZJehvRKGD] figure_B_5.jpg -> classified as: Plots / Charts
[KZJehvRKGD] figure_B.jpg -> classified as: Plots / Charts
[KZJehvRKGD] figure_7.jpg -> classified as: Plots / Charts
[KZJehvRKGD] figure_3.jpg -> classified as: Plots / Charts
[KZJehvRKGD] figure_B_4.jpg -> classified as: Plots / Charts
[KZJehvRKGD] figure_4.jpg -> classified as: Plots / Charts
[KZJehvRKGD] figure_5_1.jpg -> classified as: Plots / Charts
[KZJehvRKGD] figure_B_1.jpg -> classified as: Plots / Charts
[KZJehvRKGD] figure_B_2.jpg -> classified as: Plots / Charts
[KZJehvRKGD] figure_1.jpg -> classified as: Plots / Charts
[KZJehvRKGD] figure_M.jpg -> classified as: Plots / Charts
[KZu3xhPhke] figure_5.jpg -> classified as: Plots / Charts
[KZu3xhPhke] figure_6.jpg -> classified as: Plots / Charts
[KZu3xhPhke] figure_2.jpg -> classified as: Plots / Charts
[KZu3xhPhke] figure_7.jpg -> classified as: Plots / Charts
[KZu3xhPhke] figure_3.jpg -> classified as: Plots / Charts
[KZu3xhPhke] figure_4.jpg -> classified as: Plots / Charts
